From fairest creatures we desire increase,	s	Has checked the outlaw's way ; 	b
With others thou shouldst not abhor my state:	s	Ah ! my dear father, tell me why ? 	b
His tender heir might bear his memory:	s	But what shall brave the deep, deep waves 	b
But thou, contracted to thine own bright eyes,	s	And gives the waves a brighter blue, 	b
Feed'st thy light'st flame with self-substantial fuel,	s	Stooped, and raised his languid head ; 	b
Thyself thy foe, to thy sweet self too cruel.	s	Subdue this quenchless will ! ' 	b
Thou that art now the world's fresh ornament	s	He felt for all the beauty there. 	b
And only herald to the gaudy spring,	s	Turn back, from that tempestuous surge, 	b
Within thine own bud buriest thy content	s	Before it fades away ! 	b
And, tender churl, makest waste in niggarding.	s	When winter winds were wild . 	b
Pity the world, or else this glutton be,	s	Warm and bright on Arden's lake 	b
To eat the world's due, by the grave and thee.	s	All my life's bliss from thy dear life was given, 	b
When forty winters shall beseige thy brow,	s	Who motionless is laid . . . 	b
Poor soul, the centre of my sinful earth,	s	Of southern waters breaking to the wind, 	b
Thy youth's proud livery, so gazed on now,	s	And laughter sink into a sigh, 	b
Will be a tatter'd weed, of small worth held:	s	Their sunlit isles of paradise, 	b
Then being ask'd where all thy beauty lies,	s	The vain man smile, the fool deride, 	b
Where all the treasure of thy lusty days,	s	4 This is my home where whirlwinds blow, 	b
To say, within thine own deep-sunken eyes,	s	1 'd call forth the glorious chorus again 	b
Were an all-eating shame and thriftless praise.	s	With blood on his hand that he wept to have shed ? 	b
If thou couldst answer 'This fair child of mine	s	The space between is all forgot, 	b
Shall sum my count and make my old excuse,'	s	* But, I '11 not fear, I will not weep 	b
Proving his beauty by succession thine!	s	Oh, stars, and dreams, and gentle night ; 	b
This were to be new made when thou art old,	s	I have one rite a gentle kiss ; 	b
Now is the time that face should form another;	s	When those who were thy own compeers, 	b
Whose fresh repair if now thou not renewest,	s	All Nature's million mysteries, 	b
Thou dost beguile the world, unbless some mother.	s	To reach, at last, the eternal home, 	b
For where is she so fair whose unear'd womb	s	Was flitting o'er me evermore. 	b
Disdains the tillage of thy husbandry?	s	But something whispers to my mind, 	b
Or who is he so fond will be the tomb	s	What though the stars and fair moonlight 	b
Thou art thy mother's glass, and she in thee	s	And who with unregretful eyes 	b
Calls back the lovely April of her prime:	s	But sweet was the slight and spicy smell 	b
So thou through windows of thine age shall see	s	Opening its ports for me and mine ; 	b
Despite of wrinkles this thy golden time.	s	Implored to change for senseless rest 	b
But if thou live, remember'd not to be,	s	How still, how happy ! These are words 	b
Die single, and thine image dies with thee.	s	And what is thine that it should prove 	b
Unthrifty loveliness, why dost thou spend	s	And fresh winds shook the door ; 	b
Cupid laid by his brand, and fell asleep:	s	That I shall greet them ne'er again ! ' 	b
Nature's bequest gives nothing but doth lend,	s	Dare not indulge in memory's rapturous pain ; 	b
And being frank she lends to those are free.	s	And conquered good and conquering ill 	b
The bounteous largess given thee to give?	s	Gladly to see his gory sun 	b
Profitless usurer, why dost thou use	s	Nay, smile to hear Death's billows rave- 	b
So great a sum of sums, yet canst not live?	s	Is human love so true ? 	b
For having traffic with thyself alone,	s	The strength of eyesight to restore 	b
Thou of thyself thy sweet self dost deceive.	s	My monarch died to rule for ever 	b
Then how, when nature calls thee to be gone,	s	Unawed, the darkness of the grave ? 	b
What acceptable audit canst thou leave?	s	Which wilder visions muster'd to my mind ; 	b
Thy unused beauty must be tomb'd with thee,	s	Clothe in blood its sovereign's prayer. 	b
Which, used, lives th' executor to be.	s	Hark ! listen to the distant gun 	b
Those hours, that with gentle work did frame	s	Yet vainly flowed the calmer wave 	b
The lovely gaze where every eye doth dwell,	s	None need point the princely victim, 	b
Will play the tyrants to the very same	s	* And now, 'mid northern mountains lone 	b
And that unfair which fairly doth excel:	s	Are warring night and day ; 	b
For never-resting time leads summer on	s	From those brown hills, have melted into spring : 	b
To hideous winter and confounds him there;	s	On the shady side reclined 	b
Sap check'd with frost and lusty leaves quite gone,	s	On antique roof and hoary tree, 	b
Beauty o'ersnow'd and bareness every where:	s	That flush of roseate light, 	b
Then, were not summer's distillation left,	s	None but me beheld him dying, 	b
Nor it nor no remembrance what it was:	s	No ; 'twas not the flowery plain : 	b
But flowers distill'd though they with winter meet,	s	Has Almadore in battle bled ! 	b
Leese but their show; their substance still lives sweet.	s	The yells, the groans, the frenzied gladness, 	b
Then let not winter's ragged hand deface	s	Their careless young eyes are closed in sleeping ; 	b
In thee thy summer, ere thou be distill'd:	s	T' escape from labour's tyrant power 	b
Make sweet some vial; treasure thou some place	s	November's gusts unheeded call ; 	b
With beauty's treasure, ere it be self-kill'd.	s	Doth he not rather roam ? 	b
That use is not forbidden usury,	s	And glowed both roof and floor ; 	b
Which happies those that pay the willing loan;	s	And not one of all my lays 	b
Or ten times happier, be it ten for one;	s	1 Ice has barred the Arctic waters, 	b
Ten times thyself were happier than thou art,	s	The future fills me with dismay ; 	b
If ten of thine ten times refigured thee:	s	Felt, but unseen, the damp dewdrops fall. 	b
Then what could death do, if thou shouldst depart,	s	From those eternal waves that surge below. 	b
Leaving thee living in posterity?	s	Rattled against an old vault's rail. 	b
Be not self-will'd, for thou art much too fair	s	When that grim concave frowned above, 	b
Lo! in the orient when the gracious light	s	A thoughtful spirit taught me soon, 	b
Lifts up his burning head, each under eye	s	There if he can to die alone ? ' 	b
Doth homage to his new-appearing sight,	s	When it has worn through many a week 	b
Serving with looks his sacred majesty;	s	Because thy soul is clear ; 	b
And having climb'd the steep-up heavenly hill,	s	For ever triumphing : 	b
Resembling strong youth in his middle age,	s	Too truly agonised to weep, 	b
Yet mortal looks adore his beauty still,	s	Through wind and ocean's roar, 	b
Attending on his golden pilgrimage;	s	The face, all deadly fair, 	b
But when from highmost pitch, with weary car,	s	Winds take a pensive tone, and stars a tender fire, 	b
Like feeble age, he reeleth from the day,	s	AH ! why, because the dazzling sun 	b
The eyes, 'fore duteous, now converted are	s	But voiceless silence everywhere. 	b
From his low tract and look another way:	s	December's sullen time ! 	b
